RatingID,ParentRatingID,LBRatingID,AnnualTurnover,AnnualTurnoverDirect,AnnualTurnoverParent,AnnualTurnoverLBR,TotalAssets,TotalAssetsDirect,TotalAssetsParent,TotalAssetsLBR
2957011,2957011,null,7011000,7011000,7011000,null,59570000,59570000,59570000,null
2899524,2899524,null,16636000,16636000,16636000,null,15330000,15330000,15330000,null
2822231,2822231,null,20743000,20743000,20743000,null,15659000,15659000,15659000,null
2942649,2942649,null,505610000,505610000,505610000,null,685986000,685986000,685986000,null
2872807,2872807,null,18693000,18693000,18693000,null,18479000,18479000,18479000,null
2861440,2861440,null,75374000,75374000,75374000,null,97323000,97323000,97323000,null
2753251,2753251,null,3384000,3384000,3384000,null,12017000,12017000,12017000,null
2890265,2890265,null,0,0,0,null,50426099000,50426099000,50426099000,null
2902257,2902257,null,80796995.2363503,80796995.2363503,80796995.2363503,null,331838952.219258,331838952.219258,331838952.219258,null
2943237,2943237,null,184734254.273004,184734254.273004,184734254.273004,null,3327943520.83808,3327943520.83808,3327943520.83808,null
2943324,2943324,null,15240000,15240000,15240000,null,14430000,14430000,14430000,null
2901510,2901510,null,870000,870000,870000,null,4154000,4154000,4154000,null
2870456,2870456,null,167024000,167024000,167024000,null,89338000,89338000,89338000,null
2877940,2877940,null,6326522000,6326522000,6326522000,null,6177691000,6177691000,6177691000,null
2859925,2859925,null,7354000,7354000,7354000,null,3854000,3854000,3854000,null
2774998,2774998,null,260904000,260904000,260904000,null,55839000,55839000,55839000,null
2937225,2937225,null,3171000,3171000,3171000,null,3097000,3097000,3097000,null
2899905,2899905,null,null,null,null,null,98678000,98678000,98678000,null
2775597,2775597,null,2000,2000,2000,null,15427000,15427000,15427000,null
2898038,2898038,null,2482000,2482000,2482000,null,4852000,4852000,4852000,null
2891779,2891779,null,258676000,258676000,258676000,null,222157000,222157000,222157000,null
2861792,2861792,null,4849000,4849000,4849000,null,3327000,3327000,3327000,null
2937385,2937385,null,8888000,8888000,8888000,null,6688000,6688000,6688000,null
2896285,2896285,null,null,null,null,null,160375000,160375000,160375000,null
2756361,2756361,null,36296934.4638591,36296934.4638591,36296934.4638591,null,124748208.179135,124748208.179135,124748208.179135,null
2882532,2882532,null,176665333.33333334,176665333.33333334,176665333.33333334,null,420486666.6666667,420486666.6666667,420486666.6666667,null
2904381,2904381,null,250000,250000,250000,null,2791000,2791000,2791000,null
2876036,2876036,null,22202000,22202000,22202000,null,28489000,28489000,28489000,null
2875639,2875639,null,978935034.382917,978935034.382917,978935034.382917,null,3204120521.17264,3204120521.17264,3204120521.17264,null
2892865,2892865,null,317437368.297823,317437368.297823,317437368.297823,null,3630657925.54437,3630657925.54437,3630657925.54437,null
2900706,2900706,null,977981360.839667,977981360.839667,977981360.839667,null,923203944.987333,923203944.987333,923203944.987333,null
2772281,2772281,null,7263319145.25852,7263319145.25852,7263319145.25852,null,1487917377.87092,1487917377.87092,1487917377.87092,null
2864025,2864025,null,233311000,233311000,233311000,null,100642000,100642000,100642000,null
2910437,2910437,null,607662958.783384,607662958.783384,607662958.783384,null,38777365790.7464,38777365790.7464,38777365790.7464,null
2876455,2876455,null,97830140.0665199,97830140.0665199,97830140.0665199,null,294080667.072657,294080667.072657,294080667.072657,null
2879393,2879393,null,2050222430.34418,2050222430.34418,2050222430.34418,null,3241629594.94264,3241629594.94264,3241629594.94264,null
2910165,2910165,null,50956000,50956000,50956000,null,26055000,26055000,26055000,null
2859092,2859092,null,209000,209000,209000,null,65763000,65763000,65763000,null
